BGelectroniks,bgel_price,maxshop_price,maxshop_dif
"Кабел за данни DeTech DE-C27i, Lightning (iPhone 5/6/7/SE), 1.0m, Бял - 40110",4.3,3.8,0.5
"Кабели за данни No brand, 10бр. За iPhone 5/6/7, 1.0m, Бял - 14854",16.63,15.12,1.5099999999999998
"Преходник DeTech Mini DP то DVI, HDMI, VGA 10см, Бял - 18157",35.49,30.58,4.910000000000004
"Кабел за данни No brand, Type-C към Lightning, PD, 1.0m, Бял - 14990",15.21,12.66,2.5500000000000007
"Кабел за данни DeTech DE-C27M, Micro USB, 1.0m, Бял - 40109",3.44,3,0.43999999999999995
Кабел за данни DeTech USB - USB micro - 18025,3.1,2.86,0.2400000000000002
"Кабели за данни No brand, 20бр. Micro USB, 1.0m, Бял - 14856",22.88,20.8,2.0799999999999983
"Кабел за данни DeTech DE-24C, Type-C, 1.0m, Бял - 14128",4.3,3.86,0.43999999999999995
"Кабел за данни DeTech DE-C27C, Type-C, 1.0m, Бял - 40111",4.3,3.8,0.5
"Кабел за данни, DeTech, USB - USB Type-C, 1.5A, 1.0m - 18314",4.64,3.96,0.6799999999999997
"Кабел DeTech USB - USB Mini, 1.5m, Черен - 18071",3.56,3.08,0.48
"Геймърска мишка ZornWee G509, Оптична, Черен - 701",17.24,16.04,1.1999999999999993
"Геймърска мишка, ZornWee Walker, Оптична, Черен - 973",9.19,8.38,0.8099999999999987
"Мишка No brand, оптична, Различни цветове  - 958",6.32,5.98,0.33999999999999986
"Мишка, No Brand, оптична, Различни цветове  - 957",6.32,5.98,0.33999999999999986
"Мишка, No Brand, оптична, Различни цветове  - 959",6.32,5.98,0.33999999999999986
"Мишка ZornWee W330, Безжична, Сив - 505",11.49,12.6,-1.1099999999999994
"Мишка ZornWee W330, Безжична, Син - 506",11.49,12.6,-1.1099999999999994
"Мишка ZornWee WH001, Безжична, Черен - 707",13.79,13.74,0.049999999999998934
"Мишка ZornWee WL24, Безжична, Черен - 705",9.19,9.16,0.02999999999999936
"Мишка, ZornWee W110, Безжична, Черен - 613",11.49,14.5,-3.01
"Мрежово зарядно устройство DeTech DE-30PDL, 5V/3.0A 220V, 1 x Type-C F, PD, С Кабел Type-C към Lightning, Бял - 40116",28.52,24.55,3.969999999999999
"Мрежово зарядно устройство, No brand, 5V/2A, 220V,1 x USB, С Micro USB кабел, Бял - 14859",7.04,6.4,0.6399999999999997
"Мрежово зарядно устройство, No brand, Adaptive Fast Charging, 1 x USB, С Micro USB кабел, Бял - 14862",15.84,14.4,1.4399999999999995
"Мрежово зарядно устройство DeTech DE-30, 5V/3.0A 220V, 1 x Type-C F, PD, Бял - 40114",16.21,13.4,2.8100000000000005
"Мрежово зарядно устройство No brand, iPhone 11 Pro, 1xType-C PD, 5V/3.0A, + Кабел Type-C към Lightning , 1.0m, Бял - 14991",36.36,30.28,6.079999999999998
"Мрежово зарядно устройство No brand, iPhone 11 Pro, 1xType-C PD, 5V/3.0A, Бял - 14989",22.48,18.72,3.7600000000000016
"Мрежово зарядно устройство, No brand, 5V/1A 220V, + Кабел за iPhone 5/6/7, 1.0m, Бял - 14853",10.78,9.8,0.9799999999999986
"Тонколона Kisonli KK-02, Bluetooth, USB, SD, FM, Черен - 22134",20.48,19.49,0.990000000000002
"Мрежово зарядно устройство, No brand, 5V / 1A 220V, 1 x USB, Бял - 14861",7.48,6.8,0.6800000000000006
"Мрежово зарядно устройство, No brand, 5V / 2A 220V, 1 x USB, Бял - 14858",4.84,4.4,0.4399999999999995
"Мрежово зарядно устройство, No brand, Adaptive Fast Charging, 1 x USB, Бял - 14863",12.1,11,1.0999999999999996
"Смарт гривна No brand M3, 18mm, Bluetooth, IP67, Черен - 73047",17.33,13.5,3.8299999999999983
